Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
8.7397,0,29.85,0.243,
8.7414,0,29.85,0.243,
8.7431,0,29.85,0.243,
8.7448,0,29.85,0.243,
8.7465,0,29.85,0.243,
8.7482,0,29.85,0.243,
8.7499,0,29.85,0.243,
8.7516,0,29.85,0.243,
8.7533,0,29.85,0.243,
8.755,0,29.85,0.243,
8.7567,0,29.85,0.243,
8.7584,0,29.85,0.243,
8.7601,0,29.85,0.243,
8.7618,0,29.85,0.243,
8.7635,0,29.85,0.243,
8.7652,0,29.85,0.243,
8.7669,0,29.85,0.243,
8.7686,0,29.85,0.243,
8.7703,0,29.85,0.243,
8.772,0,29.85,0.243,
8.7737,0,29.85,0.243,
8.7754,0,29.85,0.243,
8.7771,0,29.85,0.243,
8.7788,0,29.85,0.243,
8.7805,0,29.85,0.243,
8.7822,0,29.85,0.243,
8.7839,0,29.85,0.243,
8.7856,0,29.85,0.243,
8.7873,0,29.85,0.243,
8.789,0,29.85,0.243,
8.7907,0,29.85,0.243,
8.7924,0,29.85,0.243,
8.7941,0,29.85,0.243,
8.7958,0,29.85,0.243,
8.7975,0,29.85,0.243,
8.7992,0,29.85,0.243,
8.8009,0,29.85,0.243,
8.8026,0,29.85,0.243,
8.8043,0,29.85,0.243,
8.806,0,29.85,0.243,
8.8077,0,29.85,0.243,
8.8094,0,29.85,0.243,
8.8111,0,29.85,0.243,
8.8128,0,29.85,0.243,
8.8145,0,29.85,0.243,
8.8162,0,29.85,0.243,
8.8179,0,29.85,0.243,
8.8196,0,29.85,0.243,
8.8213,0,29.85,0.243,
8.823,0,29.85,0.243,
8.8247,0,29.85,0.243,
8.8264,0,29.85,0.243,
8.8281,0,29.85,0.243,
8.8298,0,29.85,0.243,
8.8315,0,29.85,0.243,
8.8332,0,29.85,0.243,
8.8349,0,29.85,0.243,
8.8366,0,29.85,0.243,
8.8383,0,29.85,0.243,
8.84,0,29.85,0.243,
8.8417,0,29.85,0.243,
8.8434,0,29.85,0.243,
8.8451,0,29.85,0.243,
8.8468,0,29.85,0.243,
8.8485,0,29.85,0.243,
8.8502,0,29.85,0.243,
8.8519,0,29.85,0.243,
8.8536,0,29.85,0.243,
8.8553,0,29.85,0.243,
8.857,0,29.85,0.243,
8.8587,0,29.85,0.243,
8.8604,0,29.85,0.243,
8.8621,0,29.85,0.243,
8.8638,0,29.85,0.243,
8.8655,0,29.85,0.243,
8.8672,0,29.85,0.243,
8.8689,0,29.85,0.243,
8.8706,0,29.85,0.243,
8.8723,0,29.85,0.243,
8.874,0,29.85,0.243,
8.8757,0,29.85,0.243,
8.8774,0,29.85,0.243,
8.8791,0,29.85,0.243,
8.8808,0,29.85,0.243,
8.8825,0,29.85,0.243,
8.8842,0,29.85,0.243,
8.8859,0,29.85,0.243,
8.8876,0,29.85,0.243,
8.8893,0,29.85,0.243,
8.891,0,29.85,0.243,
8.8927,0,29.85,0.243,
8.8944,0,29.85,0.243,
8.8961,0,29.85,0.243,
8.8978,0,29.85,0.243,
8.8995,0,29.85,0.243,
8.9012,0,29.85,0.243,
8.9029,0,29.85,0.243,
8.9046,0,29.85,0.243,
8.9063,0,29.85,0.243,
8.908,0,29.85,0.243,
8.9097,0,29.85,0.243,
8.9114,0,29.85,0.243,
8.9131,0,29.85,0.243,
8.9148,0,29.85,0.243,
8.9165,0,29.85,0.243,
8.9182,0,29.85,0.243,
8.9199,0,29.85,0.243,0.935
8.9216,0,29.85,0.243,
8.9233,0,29.85,0.243,
8.925,0,29.85,0.243,
8.9267,0,29.85,0.243,
8.9284,0,29.85,0.243,
8.9301,0,29.85,0.243,
8.9318,0,29.85,0.243,
8.9335,0,29.85,0.243,
